시도,시군구,학교명,도로명주소,위도,경도
서울시교육청,동대문구,서울군자초등학교,서울 동대문구 한천로6길 21,37.56442961,127.0616461
서울시교육청,동대문구,서울답십리초등학교,서울 동대문구 전농로3길 23,37.56872501,127.0554738
서울시교육청,동대문구,서울동답초등학교,서울 동대문구 답십리로60길 12,37.57191001,127.0643872
서울시교육청,중랑구,서울동원초등학교,서울 중랑구 송림길 114,37.60472351,127.1053795
서울시교육청,중랑구,서울망우초등학교,서울 중랑구 망우로72길 49,37.59851572,127.1033007
서울시교육청,중랑구,서울면남초등학교,서울 중랑구 면목로30나길 38,37.5770285,127.0881886
서울시교육청,중랑구,서울면동초등학교,서울 중랑구 면목로57길 32,37.58545387,127.0867256
서울시교육청,중랑구,서울면목초등학교,서울 중랑구 면목로 434,37.59097055,127.0880726
서울시교육청,중랑구,서울면북초등학교,서울 중랑구 용마공원로5길 32,37.59457741,127.1033904
서울시교육청,중랑구,서울면일초등학교,서울 중랑구 용마산로100길 13,37.59205324,127.0997794
서울시교육청,중랑구,서울묵동초등학교,서울 중랑구 동일로138길 27,37.60429924,127.0813388
서울시교육청,중랑구,서울묵현초등학교,서울 중랑구 동일로157길 75,37.60891735,127.0736527
서울시교육청,동대문구,서울배봉초등학교,서울 동대문구 사가정로 193,37.58032791,127.0661832
서울시교육청,중랑구,서울봉화초등학교,서울 중랑구 신내로15길 110,37.61361002,127.0924009
서울시교육청,중랑구,서울상봉초등학교,서울 중랑구 동일로126가길 11,37.59841952,127.0837013
서울시교육청,중랑구,서울새솔초등학교,서울 중랑구 신내역로1길 164,37.61794461,127.1112745
서울시교육청,중랑구,서울신내초등학교,서울 중랑구 용마산로125나길 22,37.6045182,127.1000713
서울시교육청,동대문구,서울신답초등학교,서울 동대문구 천호대로 177,37.57302613,127.0430703
서울시교육청,중랑구,서울신묵초등학교,서울 중랑구 동일로149길 46,37.6071107,127.0753485
서울시교육청,중랑구,서울신현초등학교,서울 중랑구 봉화산로 188,37.60568504,127.0934036
서울시교육청,동대문구,서울안평초등학교,서울 동대문구 장한로14길 61,37.56593554,127.0721242
서울시교육청,중랑구,서울양원숲초등학교,서울 중랑구 양원역로 95,37.60904974,127.1054337
서울시교육청,동대문구,서울용두초등학교,서울 동대문구 천호대로13길 43,37.57615152,127.0288083
서울시교육청,중랑구,서울원묵초등학교,서울 중랑구 숙선옹주로 109,37.61793486,127.0863351
서울시교육청,동대문구,서울이문초등학교,서울 동대문구 신이문로 16,37.60225366,127.0643567
서울시교육청,동대문구,서울장평초등학교,서울 동대문구 답십리로69길 27,37.57378428,127.0733158
서울시교육청,동대문구,서울전곡초등학교,서울 동대문구 전농로 172,37.58052395,127.056506
서울시교육청,동대문구,서울전농초등학교,서울 동대문구 사가정로 66,37.57477299,127.0544006
서울시교육청,동대문구,서울전동초등학교,서울 동대문구 전농로16길 61,37.57946008,127.0614955
서울시교육청,동대문구,서울종암초등학교,서울 동대문구 무학로44길 25,37.58220554,127.0314191
서울시교육청,중랑구,서울중곡초등학교,서울 중랑구 면목로23길 20,37.5744894,127.083353
서울시교육청,중랑구,서울중랑초등학교,서울 중랑구 봉우재로6길 26,37.58961339,127.0754441
서울시교육청,중랑구,서울중목초등학교,서울 중랑구 동일로 665,37.59016578,127.079445
서울시교육청,중랑구,서울중화초등학교,서울 중랑구 신내로7가길 22,37.60294874,127.094519
서울시교육청,중랑구,서울중흥초등학교,서울 중랑구 봉화산로 82,37.60170794,127.0839756
서울시교육청,동대문구,서울청량초등학교,서울 동대문구 회기로25길 31,37.59202449,127.055944
서울시교육청,동대문구,서울홍릉초등학교,서울 동대문구 회기로 90,37.59108767,127.0472022
서울시교육청,동대문구,서울홍파초등학교,서울 동대문구 고산자로 518,37.5861567,127.0393914
서울시교육청,동대문구,서울휘경초등학교,서울 동대문구 망우로6길 48,37.58586231,127.0583997
서울시교육청,동대문구,서울휘봉초등학교,서울 동대문구 장안벚꽃로 309,37.58637305,127.0702146
서울시교육청,동대문구,경희초등학교,서울 동대문구 경희대로 26,37.59493231,127.0491477
서울시교육청,중랑구,금성초등학교,서울 중랑구 신내로21길 55,37.61534274,127.0899226
서울시교육청,동대문구,서울삼육초등학교,서울 동대문구 회기로10길 63,37.5888206,127.047631
서울시교육청,동대문구,은석초등학교,서울 동대문구 장안벚꽃로 205,37.57858504,127.07575
서울시교육청,서대문구,서울가재울초등학교,서울 서대문구 모래내로15길 61,37.57370144,126.9185179
서울시교육청,은평구,서울갈현초등학교,서울 은평구 연서로29길 31,37.61937389,126.916384
서울시교육청,서대문구,서울고은초등학교,서울 서대문구 모래내로 441,37.58489553,126.9434092
서울시교육청,마포구,서울공덕초등학교,서울 마포구 만리재옛길 13,37.54591567,126.9535958
서울시교육청,은평구,서울구산초등학교,서울 은평구 서오릉로15길 16,37.61243362,126.9091295
서울시교육청,은평구,서울구현초등학교,서울 은평구 갈현로15길 51,37.60990815,126.9056806
서울시교육청,서대문구,서울금화초등학교,서울 서대문구 통일로 165,37.56883678,126.9630536
서울시교육청,은평구,서울녹번초등학교,서울 은평구 녹번로1길 1,37.60428624,126.9263032
서울시교육청,서대문구,서울대신초등학교,서울 서대문구 이화여대2길 27,37.55796513,126.9480879
서울시교육청,은평구,서울대은초등학교,서울 은평구 통일로69길 12-15,37.61204177,126.9260056
서울시교육청,은평구,서울대조초등학교,서울 은평구 연서로18길 17,37.6132197,126.9196392
서울시교육청,마포구,서울동교초등학교,서울 마포구 월드컵로25길 86,37.55821007,126.902355
서울시교육청,마포구,서울마포초등학교,서울 마포구 도화2길 64,37.53860521,126.949794
서울시교육청,마포구,서울망원초등학교,서울 마포구 방울내로5길 28,37.56104394,126.9011172
서울시교육청,서대문구,서울미동초등학교,서울 서대문구 충정로 52,37.56342085,126.9659131
서울시교육청,서대문구,서울북가좌초등학교,서울 서대문구 거북골로19길 20,37.57770828,126.9076593
서울시교육청,서대문구,서울북성초등학교,서울 서대문구 북아현로1나길 22,37.55939389,126.9518173
서울시교육청,은평구,서울북한산초등학교,서울 은평구 대서문길 42-3,37.65417384,126.9504416
서울시교육청,은평구,서울불광초등학교,서울 은평구 불광로 51,37.61300714,126.9311648
서울시교육청,은평구,서울상신초등학교,서울 은평구 가좌로 361,37.59788835,126.9049484
서울시교육청,마포구,서울상암초등학교,서울 마포구 월드컵북로 353,37.57647009,126.8925004
