학교명,도로명주소,위도,경도,법정동,행정동
서울대학교사범대학부설중학교,서울특별시 성북구 월곡로 36 (종암동),37.5958359,127.0390662,종암동,종암동
서울대학교사범대학부설여자중학교,"서울특별시 종로구 대학로 64 , 서울대학교사범대학부설여자중학교 (이화동)",37.5775997,127.0042955,이화동,이화동
개원중학교,"서울특별시 강남구 영동대로 101 , 개원중학교 (개포동,개원중학교)",37.49159053,127.0719003,개포동,개포2동
개포중학교,"서울특별시 강남구 선릉로 9 (개포동,개포중학교)",37.48044739,127.0624029,개포동,개포1동
경원중학교,"서울특별시 서초구 신반포로33길 39 (잠원동,경원중학교)",37.5115816,127.0090183,잠원동,반포3동
구룡중학교,"서울특별시 강남구 선릉로 103 (개포동,구룡중학교)",37.48621294,127.0565075,개포동,개포1동
압구정중학교,"서울특별시 강남구 압구정로 225 , 압구정중학교 (압구정동,압구정중학교)",37.53024224,127.0330027,압구정동,압구정동
단국대학교사범대학부속중학교,서울특별시 강남구 도곡로64길 21 (대치동),37.49561749,127.0577682,대치동,대치1동
대명중학교,"서울특별시 강남구 역삼로87길 26 (대치동, 대명중학교)",37.50631894,127.0607781,대치동,대치2동
대왕중학교,"서울특별시 강남구 광평로20길 7 (수서동, 대왕중학교)",37.48346033,127.0873381,수서동,일원본동
대청중학교,"서울특별시 강남구 양재천로 321 (대치동, 대청중학교)",37.49034855,127.0580335,대치동,대치1동
대치중학교,"서울특별시 강남구 남부순환로378길 39 (도곡동,대치중학교)",37.48457751,127.0470652,도곡동,도곡2동
도곡중학교,"서울특별시 강남구 언주로57길 31 (도곡동,도곡중학교)",37.49229373,127.0447856,도곡동,도곡1동
동덕여자중학교,"서울특별시 서초구 효령로2길 123-5 (방배동,동덕여자중고등학교)",37.47584606,126.9926158,방배동,방배3동
반포중학교,"서울특별시 서초구 신반포로 67 (반포동,반포중학교)",37.50305237,126.991604,반포동,반포본동
방배중학교,"서울특별시 서초구 동광로 144 (반포동,방배중학교)",37.49486827,126.997827,반포동,반포4동
봉은중학교,서울특별시 강남구 영동대로128길 59 (삼성동),37.51897667,127.0623894,삼성동,삼성1동
서문여자중학교,서울특별시 서초구 동광로12길 84 (방배동),37.48891973,126.9845458,방배동,방배4동
서운중학교,"서울특별시 서초구 서운로 115 (서초동,서운중학교)",37.49394851,127.0245382,서초동,서초2동
서일중학교,"서울특별시 서초구 서운로21길 2 (서초동,서일중학교)",37.49852986,127.0232207,서초동,서초4동
서초중학교,"서울특별시 서초구 반포대로13길 48 (서초동,서초중학교)",37.48546798,127.0092308,서초동,서초3동
세화여자중학교,"서울특별시 서초구 신반포로 56-7 , 세화여자중학교 (반포동,강당)",37.50199646,126.99423,반포동,반포본동
수서중학교,"서울특별시 강남구 광평로59길 57 (수서동,수서중학교)",37.49121758,127.1023555,수서동,수서동
숙명여자중학교,"서울특별시 강남구 남부순환로 2807 , 숙명여자중학교",37.49147536,127.0526126,도곡동,도곡2동
신구중학교,"서울특별시 강남구 압구정로36길 17 (신사동,신구중학교)",37.52744229,127.0316727,신사동,압구정동
신동중학교,"서울특별시 서초구 나루터로 27 , 신동중학교 (잠원동,신동중학교)",37.5169159,127.0129154,잠원동,잠원동
신반포중학교,"서울특별시 서초구 신반포로19길 26 , 신반포중학교 (반포동,신반포중학교)",37.50626532,126.9961242,반포동,반포2동
신사중학교,"서울특별시 강남구 압구정로 123 (압구정동,신사중학교)",37.52465157,127.0209188,압구정동,신사동
언남중학교,"서울특별시 서초구 동산로 55 (양재동,언남중학교)",37.47230262,127.0437571,양재동,양재2동
언북중학교,"서울특별시 강남구 도산대로38길 27 (논현동,언북중학교)",37.51941115,127.0334905,논현동,논현2동
언주중학교,"서울특별시 강남구 선릉로116길 57 , 언주중학교",37.51465316,127.0466832,삼성동,삼성2동
역삼중학교,"서울특별시 강남구 도곡로43길 10 (역삼동,역삼중학교)",37.49592949,127.0486129,역삼동,역삼2동
영동중학교,"서울특별시 서초구 성촌길 14 (우면동,영동중학교)",37.46598629,127.0251407,우면동,양재1동
원촌중학교,"서울특별시 서초구 사평대로45길 10 (반포동,원촌중학교)",37.5063251,127.0146997,반포동,반포1동
은성중학교,"서울특별시 강남구 남부순환로359길 36 (도곡동,은광여자고등학교)",37.48834845,127.0350215,도곡동,도곡1동
이수중학교,"서울특별시 서초구 방배중앙로3길 32 (방배동,이수중학교)",37.48063003,126.989859,방배동,방배2동
중동중학교,서울특별시 강남구 일원로8길 37 중동중학교,37.4885699,127.0786819,일원동,개포3동
진선여자중학교,"서울특별시 강남구 선릉로85길 27 (역삼동, 진선여자중학교)",37.50230289,127.0482866,역삼동,역삼2동
청담중학교,"서울특별시 강남구 압구정로61길 36 (청담동,청담중학교)",37.52865979,127.0448101,청담동,청담동
휘문중학교,서울특별시 강남구 역삼로 541 (대치동),37.50528945,127.0619939,대치동,대치2동
가락중학교,"서울특별시 송파구 송이로 45 (송파동,가락중학교)",37.50233971,127.1189713,송파동,송파2동
가원중학교,"서울특별시 송파구 중대로10길 40-18 (가락동,가원중학교)",37.49096833,127.1229789,가락동,가락본동
강일중학교,서울특별시 강동구 고덕로27길 12 (암사동414-17),37.55534535,127.1380086,암사동,암사3동
