학교명,도로명주소,위도,경도,법정동,행정동
서울교육대학교부설초등학교,"서울특별시 서초구 서초중앙로 96 (서초동,서울교대초등학교)",37.49074049,127.0154245,서초동,서초1동
서울대학교사범대학부설초등학교,"서울특별시 종로구 대학로 64 (동숭동,서울사대부설초등학교)",37.5775997,127.0042955,이화동,이화동
서울개원초등학교,"서울특별시 강남구 선릉로 29 (개포동,개원초등학교)",37.48169861,127.0594505,개포동,개포1동
서울개일초등학교,"서울특별시 강남구 개포로 401 , 개일초등학교 (개포동,개일초등학교)",37.48623538,127.0577909,개포동,개포2동
서울개포초등학교,"서울특별시 강남구 삼성로4길 30 (개포동, 개포초등학교)",37.48633492,127.07031,개포동,개포2동
서울구룡초등학교,"서울특별시 강남구 개포로 263 (개포동,구룡초등학교)",37.48119739,127.0517714,개포동,개포4동
서울논현초등학교,"서울특별시 강남구 강남대로120길 33 (논현동,논현초등학교)",37.50848958,127.0262229,논현동,논현1동
서울대곡초등학교,"서울특별시 강남구 남부순환로 3022 , 서울대곡초등학교 (대치동,대곡초등학교)",37.49471064,127.0650265,대치동,대치2동
서울대도초등학교,"서울특별시 강남구 선릉로 209 (도곡동, 서울대도초등학교)",37.49258577,127.0532066,도곡동,도곡2동
서울대모초등학교,"서울특별시 강남구 광평로20길 27 , 대모초등학교 (일원동,대모초등학교)",37.48059845,127.0859938,일원동,일원본동
서울대왕초등학교,"서울특별시 강남구 헌릉로618길 8 (세곡동,대왕초등학교)",37.46463918,127.105304,세곡동,세곡동
서울대진초등학교,"서울특별시 강남구 개포로109길 74 , 서울대진초등학교 (개포동)",37.49702757,127.0778614,개포동,개포3동
서울대청초등학교,"서울특별시 강남구 양재대로55길 28 , 서울대청초등학교 (일원동)",37.4931481,127.0877673,일원동,일원1동
서울대치초등학교,"서울특별시 강남구 양재천로 363 (대치동, 대치초등학교)",37.49128657,127.0619707,대치동,대치1동
서울대현초등학교,"서울특별시 강남구 역삼로98길 16 (대치동,대현초등학교)",37.50348612,127.0632921,대치동,대치2동
서울도곡초등학교,"서울특별시 강남구 선릉로64길 33 (대치동, 도곡초등학교)",37.49951141,127.0544655,대치동,대치4동
서울도성초등학교,"서울특별시 강남구 역삼로 313 (역삼동,도성초등학교)",37.50146201,127.0488722,역삼동,역삼2동
서울반원초등학교,"서울특별시 서초구 잠원로3길 28 (잠원동,반원초등학교)",37.51038722,127.0042361,잠원동,반포3동
서울반포초등학교,"서울특별시 서초구 신반포로 55-4 , 서울반포초등학교 (반포동,반포초등학교)",37.50248483,126.9917416,반포동,반포본동
서울방배초등학교,"서울특별시 서초구 방배중앙로13길 26 (방배동,방배초등학교)",37.4867641,126.987138,방배동,방배4동
서울방일초등학교,서울특별시 서초구 방배로18길 52 (방배동),37.4852056,126.998849,방배동,방배1동
서울방현초등학교,"서울특별시 서초구 효령로4길 58 (방배동,방현초등학교)",37.47650298,126.9900734,방배동,방배3동
서울봉은초등학교,"서울특별시 강남구 학동로 610 (삼성동,봉은초등학교)",37.52004783,127.0607467,삼성동,삼성1동
서울삼릉초등학교,"서울특별시 강남구 봉은사로63길 22 (삼성동,삼릉초등학교)",37.5132583,127.0471723,삼성동,삼성2동
서울서래초등학교,"서울특별시 서초구 방배로 260 (방배동,서래초등학교)",37.496404,126.9901565,방배동,방배본동
서울서원초등학교,"서울특별시 서초구 고무래로 63 , 서울서원초등학교 (반포동)",37.5024389,127.0146195,반포동,반포1동
서울서이초등학교,"서울특별시 서초구 서운로 35 (서초동,서이초등학교)",37.49156467,127.025618,서초동,서초2동
서울서일초등학교,"서울특별시 서초구 남부순환로339길 38 (서초동,서일초등학교)",37.48529778,127.0221598,서초동,서초1동
서울서초초등학교,"서울특별시 서초구 서운로 178 (서초동,서초초등학교)",37.49904877,127.0248915,서초동,서초4동
서울수서초등학교,"서울특별시 강남구 광평로51길 46 (수서동,수서초등학교)",37.49113737,127.1018578,수서동,수서동
서울신구초등학교,"서울특별시 강남구 압구정로18길 28 (신사동,신구초등학교)",37.52336977,127.0239884,신사동,신사동
서울신동초등학교,"서울특별시 서초구 나루터로 15 (잠원동,신동초등학교)",37.51713004,127.0113904,잠원동,잠원동
서울신중초등학교,"서울특별시 서초구 남부순환로317길 15 (서초동,서울신중초등학교)",37.48015788,127.0093433,서초동,서초3동
서울압구정초등학교,"서울특별시 강남구 압구정로39길 29 (압구정동,압구정초등학교)",37.53173911,127.0308417,압구정동,압구정동
서울양재초등학교,"서울특별시 서초구 바우뫼로18길 14 (양재동,양재초등학교)",37.47416538,127.0318925,양재동,양재1동
서울양전초등학교,"서울특별시 강남구 개포로 513 , 서울양전초등학교",37.49024785,127.0691709,개포동,개포2동
서울언남초등학교,서울특별시 서초구 헌릉로8길 42 (내곡동),37.45411333,127.0614366,내곡동,내곡동
서울언북초등학교,"서울특별시 강남구 삼성로135길 42 (청담동,언북초등학교)",37.52012517,127.0447158,청담동,청담동
서울언주초등학교,"서울특별시 강남구 남부순환로363길 19 (도곡동,언주초등학교)",37.486322,127.036793,도곡동,도곡1동
서울역삼초등학교,"서울특별시 강남구 강남대로66길 21 (역삼동,역삼초등학교)",37.49314441,127.0325649,역삼동,역삼1동
서울영희초등학교,"서울특별시 강남구 일원로 21 (일원동,영희초등학교)",37.4923004,127.0811328,일원동,일원1동
서울왕북초등학교,"서울특별시 강남구 광평로31길 74 (수서동,왕북초등학교)",37.48626102,127.0862372,수서동,일원본동
서울우암초등학교,"서울특별시 서초구 바우뫼로7길 38 (우면동,우암초등학교)",37.47230059,127.0237313,우면동,양재1동
서울원명초등학교,"서울특별시 서초구 고무래로 90-6 (서초동,원명초등학교)",37.5007499,127.017067,서초동,서초4동
서울원촌초등학교,"서울특별시 서초구 사평대로45길 26 (반포동,서울원촌초등학교)",37.50624464,127.0123467,반포동,반포1동
서울이수초등학교,"서울특별시 서초구 방배천로4길 23 서울이수초등학교 (방배동,이수초등학교)",37.47818874,126.9840588,방배동,방배2동
서울일원초등학교,"서울특별시 강남구 영동대로4길 20 (일원동,일원초등학교)",37.48981271,127.0761419,일원동,개포2동
서울잠원초등학교,"서울특별시 서초구 신반포로16길 15-25 (반포동, 잠원초등학교)",37.50185909,126.9983875,반포동,반포2동
서울청담초등학교,"서울특별시 강남구 압구정로71길 9 (청담동,청담초등학교)",37.52828187,127.045153,청담동,청담동
서울포이초등학교,"서울특별시 강남구 개포로22길 87 , 서울포이초등학교 (개포동,포이초등학교)",37.47581662,127.0520457,개포동,개포4동
