시도교육청명,행정구역명,학원명,도로명주소,위도,경도
서울특별시교육청,강남구,(주)멘토르수학전문학원,"서울특별시 강남구 남부순환로 2927, 501호 일부(대치동, 대치 클래시아)",37.49367579,127.0603584
서울특별시교육청,강남구,(주)산에듀김영준국어논술전문별관학원,"서울특별시 강남구 선릉로62길 27, 1~4층 (대치동)",37.49785712,127.0547576
서울특별시교육청,강남구,(주)산에듀김영준국어논술전문프리미엄관학원,"서울특별시 강남구 선릉로62길 32-2, 5층 (대치동, 대아빌딩)",37.49768019,127.0550924
서울특별시교육청,강남구,(주)산에듀김영준국어논술전문학원,"서울특별시 강남구 도곡로 409, 2층, 5층 1호 (대치동, 타워엠프리스)",37.49736921,127.055167
서울특별시교육청,강남구,(주)세한아카데미외국어학원,"서울특별시 강남구 테헤란로64길 16-9, 3층,4층 (대치동)",37.50360603,127.0506286
서울특별시교육청,강남구,(주)엠제이재즈피아노실용음악학원,"서울특별시 강남구 테헤란로1길 28-14, 3층 301호 (역삼동)",37.50036666,127.0285278
서울특별시교육청,강남구,(주)인사이트어학원,"서울특별시 강남구 삼성로 338, 1층 전체 (대치동)",37.50184967,127.0597498
서울특별시교육청,강남구,(주)지이에스어학원,서울특별시 강남구 도곡로 408디마크빌딩 705 706호 (대치동),37.49662252,127.0552332
서울특별시교육청,강남구,101프렙학원,"서울특별시 강남구 도곡로83길 8, 3층 전체 (대치동)",37.50010561,127.0623411
서울특별시교육청,강남구,152사운드랩학원,서울특별시 강남구 강남대로152길 445층(신사동),37.51805614,127.022877
서울특별시교육청,강남구,153줌바스아카데미작사작곡전문학원,"서울특별시 강남구 영동대로138길 21, 2층 201호 (청담동, 피움빌딩)",37.52348381,127.0561822
서울특별시교육청,강남구,1교시수학학원,"서울특별시 강남구 남부순환로 2941, 3층 301-1호 (대치동, 대치탑프라자)",37.49426333,127.0619343
서울특별시교육청,강남구,301아카데미(Academy)영어교습소,"서울특별시 강남구 개포로82길 7, 3층 301호 (개포동, 삼성빌딩)",37.48870191,127.0672873
서울특별시교육청,강남구,3030영어교습소,"서울특별시 강남구 광평로10길 15, 115호(일원동,상록수아파트단지내상가동)",37.48289938,127.0834454
서울특별시교육청,강남구,365국어교습소,"서울특별시 강남구 삼성로 150, 158호, 165호(대치동,한보종합상가)",37.49569534,127.0685647
서울특별시교육청,강남구,365필름아트진학상담지도교습소,서울특별시 강남구 논현로136길 33층 302호(논현동),37.51596089,127.0303373
서울특별시교육청,강남구,414자기주도학습(SDL)원격학원,"서울특별시 강남구 개포로110길 15, 2층 202호 (일원동, 우성7차아파트)",37.49324377,127.0791148
서울특별시교육청,강남구,ANC크루팩토리승무원학원,"서울특별시 강남구 강남대로 584, 지하1층일부 (논현동)",37.5139724,127.0206119
서울특별시교육청,강남구,AN연기학원,"서울특별시 강남구 압구정로10길 34-1, 3층 3호,4호,5호, 4층 1호,2호,3호,4호,5호 (신사동)",37.52137905,127.0218573
서울특별시교육청,강남구,BT수학전문수학교습소,"서울특별시 강남구 선릉로 38, 4층 일부 (개포동, 오성빌딩)",37.48315804,127.0603954
서울특별시교육청,강남구,CIM피아노학원,"서울특별시 강남구 강남대로120길 61, 1층 (논현동)",37.50772494,127.0283499
서울특별시교육청,강남구,GLMA글로벌인생만남논술교습소,"서울특별시 강남구 일원로5길 71, 1층 전체 (일원동)",37.49271933,127.085654
서울특별시교육청,강남구,GLP아카데미(GLPEnglishAcademy)학원,"서울특별시 강남구 삼성로71길 21, 1층, 3층, 4층(대치동)",37.50176274,127.0571769
서울특별시교육청,강남구,HSC진학상담지도교습소,"서울특별시 강남구 논현로175길 64, 6층 전체 (신사동)",37.52425144,127.0237649
서울특별시교육청,강남구,IG수학교습소,"서울특별시 강남구 삼성로64길 5, 2층 204호 전체 (대치동, 대치현대아파트)",37.5004475,127.0605138
서울특별시교육청,강남구,J바이올린음악교습소,"서울특별시 강남구 압구정로 309, B동 203-3호 (압구정동, 현대아파트)",37.53192115,127.0355385
서울특별시교육청,강남구,J영어학원,"서울특별시 강남구 삼성로119길 27, 2층 2호 및 3층 전체 (삼성동)",37.51548771,127.0492425
서울특별시교육청,강남구,LYS잉글리쉬(English)영어교습소,"서울특별시 강남구 논현로161길 14, 3층 (신사동)",37.52359687,127.0270635
서울특별시교육청,강남구,S2수학교습소,"서울특별시 강남구 삼성로67길 3, 201호 (대치동)",37.50110297,127.059112
서울특별시교육청,강남구,SCMA음악교습소,"서울특별시 강남구 압구정로54길 14, 5층 전체 (신사동)",37.52698985,127.0393215
서울특별시교육청,강남구,SJ EMI영어교습소,"서울특별시 강남구 광평로10길 6, 한솔상가 202호 (일원동, 한솔마을아파트)",37.48262917,127.0765203
서울특별시교육청,강남구,SJ수학교습소,"서울특별시 강남구 광평로10길 6, 207호 (일원동, 한솔마을상가동)",37.48262917,127.0765203
