시도,추출시군구,어린이집명,주소,위도,경도
인천광역시,중구,장미어린이집,인천광역시 중구 참외전로174번길 12-1 ,37.47194526,126.6347843
인천광역시,중구,금산어린이집,인천광역시 중구 백운로351번길 3 (운북동),37.50583059,126.519962
인천광역시,중구,효성어린이집,인천광역시 중구 백운로 34 (중산동),37.50101232,126.5526227
인천광역시,중구,비둘기어린이집,인천광역시 중구 자유공원서로29번길 3-19 ,37.476661,126.6197772
인천광역시,중구,인천신광초등학교어린이집,인천광역시 중구 신흥동3가 인중로 63 인천신광초등학교어린이집,37.46435503,126.6345301
인천광역시,중구,세연어린이집,인천광역시 중구 인항로 30 현대아이파크아파트 제어린이관련시설 (신흥동3가),37.45736951,126.6332165
인천광역시,중구,양문선교어린이집,인천광역시 중구 답동로30번길 29 (경동),37.47173784,126.6330081
인천광역시,중구,상아어린이집,"인천광역시 중구 신도시북로43번길 83 풍림아파트5단지 내 (운서동, 풍림아이원5단지아파트)",37.50111143,126.4871387
인천광역시,중구,사랑어린이집,인천광역시 중구 신도시북로88번길 11-3 ,37.49956636,126.4892284
인천광역시,중구,흰돌어린이집,"인천광역시 중구 흰바위로 34 관리동 1층(운서동, 영종주공스카이빌10단지)",37.49054204,126.4894953
인천광역시,중구,보물단지어린이집,"인천광역시 중구 인항로 30 105동 104호(신흥동3가, 신흥아이파크)",37.45736951,126.6332165
인천광역시,중구,아이사랑어린이집,"인천광역시 중구 하늘별빛로 86 923동 103호(중산동, 한라비발디아파트)",37.49262889,126.5635112
인천광역시,중구,즐거운어린이집,"인천광역시 중구 도원로26번길 33-8 1동 115호(도원동, 뉴월드)",37.46574284,126.6385981
인천광역시,중구,갈매기어린이집,인천광역시 중구 도산로 21 갈매기어린이집(1층),37.46743705,126.6384373
인천광역시,중구,조은어린이집,"인천광역시 중구 흰바위로 15 805동 102호(운서동, 풍림아이원8단지아파트)",37.49354374,126.4870256
인천광역시,중구,나래어린이집,인천광역시 중구 인중로98번길 17 인천세관직원생활관 (신흥동1가),37.46637234,126.6323378
인천광역시,중구,파란나라어린이집,"인천광역시 중구 하늘별빛로 86 921동 102호(중산동, 한라비발디)",37.49262889,126.5635112
인천광역시,중구,하늘어린이집,인천광역시 중구 운중로21번길 11 ,37.49450065,126.5365966
인천광역시,중구,태양어린이집,인천광역시 중구 매소홀로 10 (신흥동3가),37.45278277,126.6282058
인천광역시,중구,월디어린이집,인천광역시 중구 제물량로 169 (사동),37.46991687,126.6248183
인천광역시,중구,아이조아어린이집,"인천광역시 중구 인항로 30 107동 106호(신흥동3가, 신흥아이파크)",37.45736951,126.6332165
