Unnamed: 0,공원명,공원구분,소재지지번주소,위도,경도,공원면적,행정동
0,산들바람공원,근린공원,인천광역시 서구 원당동 986-1,37.60345169,126.7076502,63663.4,아라2동
1,아라보타닉파크,근린공원,인천광역시 서구 원당동 986,37.59694362,126.7057071,88897.2,아라2동
2,약수공원,근린공원,인천광역시 서구 왕길동 산27-12,37.58813039,126.6597086,95261.0,오류왕길동
3,검단중앙공원,근린공원,인천광역시 서구 왕길동 산14-3,37.58952551,126.6625746,587601.0,오류왕길동
4,새벌공원,근린공원,인천광역시 계양구 효성동 산73-11,37.530225,126.698672,131302.0,효성2동
5,마전근린공원,근린공원,인천광역시 서구 왕길동 산106-4,37.59770496,126.6604742,113000.0,오류왕길동
6,무주골공원,근린공원,인천광역시 연수구 선학동 134-11,37.43211381,126.6967883,850681.0,선학동
7,청솔공원,근린공원,인천광역시 연수구 청학동 22-4,37.4315716,126.6654368,301671.0,청학동
8,함봉공원(1단계),근린공원,인천광역시 부평구 산곡동 산43,37.48736071,126.7023195,55945.0,산곡3동
9,이승훈역사공원,역사공원,인천광역시 남동구 장수동 662-23,37.451671,126.746115,45928.0,장수서창동
10,장아산공원,근린공원,인천광역시 남동구 서창동 산 24-5,37.42468786,126.7533244,333049.0,서창2동
11,장고개근린공원,근린공원,인천광역시 서구 가좌동 1-7,37.49474058,126.6911607,25399.8,가좌4동
12,경명공원,근린공원,인천광역시 서구 연희동 200,37.5508632,126.6696767,24357.0,연희동
13,연희근린공원,근린공원,인천광역시 서구 연희동 산129,37.54285215,126.6628278,1032165.5,연희동
14,계양근린공원,근린공원,인천광역시 계양구 계산동 산 52-1,37.550131,126.7233835,344582.8,계산2동
15,월미공원,근린공원,인천광역시 중구 북성동1가 99,37.47110094,126.6038829,590614.0,개항동
16,청능공원,근린공원,인천광역시 연수구 동춘동 산 1,37.41649929,126.6693184,224955.0,동춘1동
17,장미공원,근린공원,인천광역시 연수구 연수동 137-3,37.42663202,126.6778426,1025454.0,연수1동
18,문학공원,근린공원,인천광역시 미추홀구 학익동 95,37.43657703,126.6722983,209546.0,학익1동
19,남항공원,근린공원,인천광역시 중구 신흥동3가 69,37.43526306,126.6286205,95000.0,신흥동
20,중앙공원,근린공원,인천광역시 미추홀구 관교동 14,37.44078785,126.6986523,351770.8,관교동
21,소래습지생태공원,근린공원,인천광역시 남동구 논현동 1-17,37.40736572,126.7463366,1511706.0,논현1동
22,십정공원,근린공원,인천광역시 부평구 십정동 산 37,37.47976933,126.7062528,110051.0,십정2동
23,원적산공원,근린공원,인천광역시 부평구 산곡동 80-99,37.51289785,126.6933776,215172.0,산곡1동
24,부평공원,근린공원,인천광역시 부평구 부평동 271,37.48934791,126.7146464,113123.0,부평3동
25,인천대공원,근린공원,인천광역시 남동구 장수동 산78,37.45859492,126.7519687,2665463.9,장수서창동
26,노을공원,근린공원,인천광역시 서구 청라동 12-6,37.53320392,126.6130722,225188.2,청라3동
27,해변공원,근린공원,인천광역시 서구 청라동 산 5-19,37.53854418,126.6155453,189769.9,청라3동
28,문화공원 3호(정서진공원),문화공원,인천광역시 서구 청라동 92-20,37.5329043,126.625708,145965.6,청라3동
29,문화공원 2호(창해문화공원),문화공원,인천광역시 서구 청라동 155-19,37.5329593,126.6426227,98987.7,청라2동
30,문화공원 1호(녹청문화공원),문화공원,인천광역시 서구 청라동 165-15,37.53300872,126.6548677,106642.2,청라1동
31,청라호수공원,근린공원,인천광역시 서구 청라동 106-2,37.5306152,126.6362978,690573.9,청라2동
32,박석공원,근린공원,인천광역시 중구 중산동 1911-4,37.4990143,126.5632013,351889.5,영종2동
33,은골공원,근린공원,인천광역시 중구 운서동 3124-1,37.48574899,126.4952777,392450.4,운서2동
34,씨사이드파크,근린공원,인천광역시 중구 운남동 1640-1,37.47860421,126.5571779,1770719.2,영종동
35,랜드마크시티 18 근린공원,근린공원,인천광역시 연수구 송도동 306-2,37.4268815,126.6300593,77873.0,송도5동
36,랜드마크시티 17 근린공원,근린공원,인천광역시 연수구 송도동 400,37.39593939,126.6252889,60158.0,송도4동
37,랜드마크시티 3호 근린공원,근린공원,인천광역시 연수구 송도동 326,37.40831042,126.6208499,81848.7,송도4동
38,랜드마크시티 1호 체육공원,체육공원,인천광역시 연수구 송도동 330-1,37.41253666,126.6325869,14864860.0,송도2동
39,글로벌파크,근린공원,인천광역시 연수구 송도동 191-1,37.3762118,126.6594509,87033.0,송도3동
40,솔찬공원,근린공원,인천광역시 연수구 송도동 12-8,37.3725361,126.6278979,157445.0,송도1동
41,달빛공원,근린공원,인천광역시 연수구 송도동 1,37.39543995,126.6593123,862486.0,송도1동
42,신송공원,근린공원,인천광역시 연수구 송도동 3-41,37.39049361,126.6584207,38920.0,송도1동
43,새아침공원,근린공원,인천광역시 연수구 송도동 2-1,37.39798134,126.6536494,104709.0,송도1동
