,시도명,시군구명,행정동,아동인구,의사수,아동대상의사_원값,아동대상의사_정규화,아동대상의사_가중치
0,서울특별시,종로구,청운효자동,1258,2.0,1.589825119236884,0.007446016381236,0.00094936708860759
1,서울특별시,종로구,사직동,858,2.0,2.331002331002331,0.0109173526895045,0.0013919624679118237
2,서울특별시,종로구,삼청동,181,0.0,0.0,0.0,0.0
3,서울특별시,종로구,부암동,881,0.0,0.0,0.0,0.0
4,서울특별시,종로구,평창동,2039,0.0,0.0,0.0,0.0
5,서울특별시,종로구,무악동,1143,1.0,0.8748906386701663,0.0040975890671893,0.0005224426060666357
6,서울특별시,종로구,교남동,1193,15.0,12.573344509639565,0.0588878160578055,0.007508196547370201
7,서울특별시,종로구,가회동,345,0.0,0.0,0.0,0.0
8,서울특별시,종로구,종로1.2.3.4가동,315,1.0,3.1746031746031744,0.01486839461523,0.001895720313441825
9,서울특별시,종로구,종로5.6가동,275,1.0,3.636363636363636,0.0170310701956271,0.0021714614499424552
10,서울특별시,종로구,이화동,370,79.0,213.51351351351352,1.0,0.1275
11,서울특별시,종로구,혜화동,1190,15.0,12.605042016806722,0.0590362727369428,0.007527124773960207
12,서울특별시,종로구,창신1동,202,0.0,0.0,0.0,0.0
13,서울특별시,종로구,창신2동,331,3.0,9.06344410876133,0.0424490420283758,0.005412252858617915
14,서울특별시,종로구,창신3동,508,0.0,0.0,0.0,0.0
15,서울특별시,종로구,숭인1동,398,2.0,5.025125628140704,0.023535398511545,0.0030007633102219875
16,서울특별시,종로구,숭인2동,426,0.0,0.0,0.0,0.0
17,서울특별시,중구,소공동,255,1.0,3.92156862745098,0.0183668404070488,0.002341772151898722
18,서울특별시,중구,회현동,282,1.0,3.5460992907801416,0.0166083131340335,0.0021175599245892712
19,서울특별시,중구,명동,110,0.0,0.0,0.0,0.0
20,서울특별시,중구,필동,253,0.0,0.0,0.0,0.0
21,서울특별시,중구,장충동,244,1.0,4.0983606557377055,0.0191948537040879,0.0024473438472712074
22,서울특별시,중구,광희동,230,2.0,8.695652173913043,0.0407264722069345,0.005192625206384149
23,서울특별시,중구,을지로동,196,0.0,0.0,0.0,0.0
24,서울특별시,중구,신당동,380,0.0,0.0,0.0,0.0
25,서울특별시,중구,다산동,851,0.0,0.0,0.0,0.0
26,서울특별시,중구,약수동,1329,2.0,1.5048908954100828,0.0070482231810345,0.0008986484555818988
27,서울특별시,중구,청구동,949,1.0,1.053740779768177,0.0049352416267623,0.0006292433074121933
28,서울특별시,중구,신당5동,751,0.0,0.0,0.0,0.0
29,서울특별시,중구,동화동,1039,2.0,1.9249278152069296,0.0090154847041337,0.0011494742997770467
30,서울특별시,중구,황학동,910,0.0,0.0,0.0,0.0
31,서울특별시,중구,중림동,1391,2.0,1.4378145219266716,0.0067340680140869,0.0008585936717960798
32,서울특별시,용산구,후암동,1376,5.0,3.633720930232558,0.0170186929643803,0.0021698833529584884
33,서울특별시,용산구,용산2가동,467,6.0,12.84796573875803,0.0601740167511452,0.007672187135771013
34,서울특별시,용산구,남영동,280,0.0,0.0,0.0,0.0
35,서울특별시,용산구,청파동,1032,5.0,4.844961240310077,0.0226915906191737,0.0028931778039446468
36,서울특별시,용산구,원효로1동,1719,2.0,1.1634671320535197,0.0054491498589848,0.000694766607020562
