시군구,행정동,어린이집수,유아인구합계,유아천명당시설수,정규화값,가중치적용값
송파구,가락1동,14,1520,9.210526316,0.027631579,0.002265789
송파구,가락2동,14,868,16.12903226,0.048387097,0.003967742
송파구,가락본동,11,705,15.60283688,0.046808511,0.003838298
구로구,가리봉동,2,94,21.27659574,0.063829787,0.005234043
금천구,가산동,9,364,24.72527473,0.074175824,0.006082418
강서구,가양1동,23,766,30.02610966,0.090078329,0.007386423
강서구,가양2동,6,232,25.86206897,0.077586207,0.006362069
강서구,가양3동,8,441,18.14058957,0.054421769,0.004462585
서구,가정1동,24,2292,10.47120419,0.031413613,0.002575916
서구,가정2동,9,1177,7.646559048,0.022939677,0.001881054
서구,가정3동,2,139,14.38848921,0.043165468,0.003539568
서구,가좌1동,6,341,17.59530792,0.052785924,0.004328446
서구,가좌2동,7,458,15.28384279,0.045851528,0.003759825
서구,가좌3동,2,232,8.620689655,0.025862069,0.00212069
서구,가좌4동,8,472,16.94915254,0.050847458,0.004169492
고양시 일산서구,가좌동,9,362,24.86187845,0.074585635,0.006116022
종로구,가회동,3,58,51.72413793,0.155172414,0.012724138
남동구,간석1동,5,385,12.98701299,0.038961039,0.003194805
남동구,간석2동,9,460,19.56521739,0.058695652,0.004813043
남동구,간석3동,9,505,17.82178218,0.053465347,0.004384158
남동구,간석4동,7,645,10.85271318,0.03255814,0.002669767
구리시,갈매동,22,1312,16.76829268,0.050304878,0.004125
부평구,갈산1동,3,242,12.39669421,0.037190083,0.003049587
부평구,갈산2동,8,312,25.64102564,0.076923077,0.006307692
안양시 동안구,갈산동,3,173,17.34104046,0.052023121,0.004265896
은평구,갈현1동,5,178,28.08988764,0.084269663,0.006910112
은평구,갈현2동,8,372,21.50537634,0.064516129,0.005290323
하남시,감일동,38,2516,15.10333863,0.045310016,0.003715421
강동구,강일동,27,1518,17.78656126,0.053359684,0.004375494
강화군,강화읍,6,571,10.50788091,0.031523643,0.002584939
구로구,개봉1동,16,1215,13.16872428,0.039506173,0.003239506
구로구,개봉2동,19,789,24.08111534,0.072243346,0.005923954
구로구,개봉3동,7,355,19.71830986,0.05915493,0.004850704
강남구,개포1동,4,1031,3.879728419,0.011639185,0.000954413
강남구,개포2동,8,2024,3.95256917,0.011857708,0.000972332
강남구,개포3동,6,486,12.34567901,0.037037037,0.003037037
강남구,개포4동,9,817,11.01591187,0.033047736,0.002709914
