시군구,행정동,학생수(계)_초,학급수(계)_초,학생수(계)_중,학급수(계)_중,총학생수,총학급수,학급당학생수,정규화값,가중치적용값
송파구,가락1동,1833,84,853,30,2686,114,23.56140351,0.721793543,0.03796634
송파구,가락2동,1409,66,896,34,2305,100,23.05,0.706126915,0.037142276
송파구,가락본동,693,42,736,30,1429,72,19.84722222,0.608011184,0.031981388
구로구,가리봉동,267,19,0,0,267,19,14.05263158,0.430496372,0.022644109
금천구,가산동,265,15,0,0,265,15,17.66666667,0.541210795,0.028467688
강서구,가양1동,251,15,373,17,624,32,19.5,0.597374179,0.031421882
강서구,가양2동,388,22,0,0,388,22,17.63636364,0.540282475,0.028418858
강서구,가양3동,153,14,59,5,212,19,11.15789474,0.341817344,0.017979592
종로구,가회동,153,10,277,12,430,22,19.54545455,0.59876666,0.031495126
은평구,갈현2동,1252,56,1252,64,2504,120,20.86666667,0.63924143,0.033624099
강동구,강일동,2126,93,865,37,2991,130,23.00769231,0.704830837,0.037074102
구로구,개봉1동,188,15,1005,44,1193,59,20.22033898,0.619441457,0.032582621
구로구,개봉3동,1551,83,452,18,2003,101,19.83168317,0.607535152,0.031956349
강남구,개포1동,1806,78,1927,65,3733,143,26.1048951,0.799712323,0.042064868
강남구,개포2동,3377,143,940,31,4317,174,24.81034483,0.760054327,0.039978858
강남구,개포3동,184,14,988,30,1172,44,26.63636364,0.815993635,0.042921265
강남구,개포4동,975,51,0,0,975,51,19.11764706,0.58566096,0.030805767
송파구,거여1동,581,32,0,0,581,32,18.15625,0.556208972,0.029256592
송파구,거여2동,548,29,419,18,967,47,20.57446809,0.630290051,0.033153257
강동구,고덕1동,2973,116,1984,65,4957,181,27.38674033,0.838981104,0.044130406
강동구,고덕2동,1814,78,1483,49,3297,127,25.96062992,0.79529282,0.041832402
구로구,고척1동,1427,73,814,32,2241,105,21.34285714,0.653829322,0.034391422
구로구,고척2동,1125,57,311,14,1436,71,20.22535211,0.619595032,0.032590699
마포구,공덕동,1074,56,0,0,1074,56,19.17857143,0.587527352,0.030903939
노원구,공릉1동,1134,64,0,0,1134,64,17.71875,0.542806346,0.028551614
노원구,공릉2동,2953,125,1763,75,4716,200,23.58,0.722363239,0.037996306
강서구,공항동,2248,108,1613,65,3861,173,22.31791908,0.683699928,0.035962616
광진구,광장동,2697,117,2478,97,5175,214,24.18224299,0.740812696,0.038966748
중구,광희동,0,0,252,13,252,13,19.38461538,0.593839421,0.031235954
종로구,교남동,0,0,250,13,250,13,19.23076923,0.58912641,0.030988049
구로구,구로1동,909,45,539,22,1448,67,21.6119403,0.662072569,0.034825017
구로구,구로2동,364,22,0,0,364,22,16.54545455,0.50686294,0.026660991
구로구,구로3동,901,53,535,23,1436,76,18.89473684,0.578832201,0.030446574
구로구,구로4동,324,21,432,22,756,43,17.58139535,0.538598545,0.028330283
구로구,구로5동,853,46,524,22,1377,68,20.25,0.620350109,0.032630416
은평구,구산동,1642,78,1693,72,3335,150,22.23333333,0.68110868,0.035826317
광진구,구의1동,0,0,422,18,422,18,23.44444444,0.718210552,0.037777875
광진구,구의2동,1035,56,0,0,1035,56,18.48214286,0.56619256,0.029781729
광진구,구의3동,654,32,0,0,654,32,20.4375,0.626094092,0.032932549
광진구,군자동,777,37,0,0,777,37,21,0.643326039,0.03383895
성동구,금호1가동,683,33,0,0,683,33,20.6969697,0.634042836,0.033350653
성동구,금호2.3가동,536,29,0,0,536,29,18.48275862,0.566211424,0.029782721
성동구,금호4가동,773,45,0,0,773,45,17.17777778,0.526233893,0.027679903
강동구,길동,1705,91,527,22,2232,113,19.75221239,0.605100598,0.031828291
성북구,길음1동,3001,139,910,31,3911,170,23.00588235,0.704775389,0.037071185
관악구,낙성대동,668,36,0,0,668,36,18.55555556,0.568441527,0.029900024
관악구,난곡동,243,15,767,36,1010,51,19.80392157,0.606684687,0.031911615
관악구,난향동,595,32,0,0,595,32,18.59375,0.569611597,0.02996157
서대문구,남가좌1동,1564,66,0,0,1564,66,23.6969697,0.725946555,0.038184789
서대문구,남가좌2동,1379,65,795,31,2174,96,22.64583333,0.693745441,0.03649101
관악구,남현동,433,28,0,0,433,28,15.46428571,0.473741794,0.024918818
서초구,내곡동,861,40,469,21,1330,61,21.80327869,0.667934139,0.035133336
동작구,노량진1동,890,56,355,15,1245,71,17.53521127,0.537183715,0.028255863
은평구,녹번동,1920,100,0,0,1920,100,19.2,0.588183807,0.030938468
강남구,논현1동,198,14,0,0,198,14,14.14285714,0.433260394,0.022789497
강남구,논현2동,396,20,306,13,702,33,21.27272727,0.651680923,0.034278417
광진구,능동,732,30,0,0,732,30,24.4,0.747483589,0.039317637
중구,다산동,308,18,413,21,721,39,18.48717949,0.566346855,0.029789845
동대문구,답십리1동,1365,70,384,17,1749,87,20.10344828,0.61586056,0.032394265
동대문구,답십리2동,464,24,0,0,464,24,19.33333333,0.592268417,0.031153319
영등포구,당산2동,1535,70,905,38,2440,108,22.59259259,0.692114434,0.036405219
영등포구,대림1동,313,21,460,22,773,43,17.97674419,0.550709888,0.02896734
영등포구,대림2동,531,38,0,0,531,38,13.97368421,0.428077853,0.022516895
영등포구,대림3동,571,37,409,20,980,57,17.19298246,0.526699682,0.027704403
동작구,대방동,1979,103,1416,64,3395,167,20.32934132,0.622780697,0.032758265
은평구,대조동,770,43,0,0,770,43,17.90697674,0.548572592,0.028854918
강남구,대치1동,1461,48,1738,50,3199,98,32.64285714,1,0.0526
강남구,대치2동,2327,90,1860,54,4187,144,29.07638889,0.890742767,0.04685307
강남구,대치4동,836,38,0,0,836,38,22,0.673960613,0.035450328
관악구,대학동,254,15,230,12,484,27,17.92592593,0.549153092,0.028885453
마포구,대흥동,657,39,840,36,1497,75,19.96,0.611466083,0.032163116
강남구,도곡1동,1306,55,1323,40,2629,95,27.67368421,0.847771508,0.044592781
강남구,도곡2동,1956,62,1563,48,3519,110,31.99090909,0.98002785,0.051549465
도봉구,도봉1동,500,33,384,17,884,50,17.68,0.541619256,0.028489173
도봉구,도봉2동,654,34,267,13,921,47,19.59574468,0.600307277,0.031576163
