,행정동,시군구,시설수,시도명,합계,지수,지수(정규화후),가중치,최종
0,가리봉동,구로구,1,서울특별시,8746.0,0.1143379830779785,0.11361029106703692,0.005021574865163032,11.361029106703691
1,가산동,금천구,1,서울특별시,25415.0,0.03934684241589613,0.026299457705320793,0.001162436030575179,2.6299457705320792
2,가정1동,서구,1,인천광역시,41263.0,0.024234786612703875,0.008704763527630775,0.0003847505479212803,0.8704763527630774
3,가좌1동,서구,3,인천광역시,12291.0,0.24408103490358798,0.2646677876962891,0.01169831621617598,26.466778769628913
4,가좌2동,서구,2,인천광역시,18007.0,0.11106791803187649,0.1098030132766012,0.0048532931868257734,10.98030132766012
5,가좌3동,서구,3,인천광역시,14862.0,0.20185708518368994,0.21550720412176094,0.009525418422181834,21.55072041217609
6,가좌4동,서구,3,인천광역시,12134.0,0.24723916268336907,0.2683447389452104,0.0118608374613783,26.83447389452104
7,가좌동,고양시 일산서구,1,경기도,18108.0,0.0552242102937928,0.04478519093688151,0.001979505439410163,4.478519093688151
8,간석1동,남동구,2,인천광역시,18135.0,0.11028398125172319,0.10889028981388565,0.004812950809773746,10.889028981388565
9,간석2동,남동구,2,인천광역시,20388.0,0.09809691975671964,0.09470111378635974,0.004185789229357101,9.470111378635973
10,간석3동,남동구,1,인천광역시,24734.0,0.04043017708417563,0.027560764732551372,0.0012181858011787708,2.756076473255137
11,간석4동,남동구,3,인천광역시,27702.0,0.10829542993285683,0.10657505535685667,0.004710617446773065,10.657505535685667
12,갈매동,구리시,1,경기도,30447.0,0.03284395835386081,0.0187282670060172,0.0008277894016659604,1.87282670060172
13,갈산1동,부평구,2,인천광역시,13986.0,0.14300014300014302,0.14698112723057197,0.006496565823591281,14.698112723057196
14,갈산2동,부평구,2,인천광역시,17053.0,0.11728141675951445,0.11703727784722054,0.005173047680847148,11.703727784722053
15,갈현1동,은평구,2,서울특별시,14003.0,0.14282653717060628,0.1467790010924778,0.006487631848287519,14.67790010924778
16,갈현2동,은평구,3,서울특별시,26729.0,0.11223764450596731,0.11116490472613041,0.004913488788894965,11.116490472613041
17,강일동,강동구,2,서울특별시,34257.0,0.05838222844965992,0.0484620145526557,0.0021420210432273818,4.846201455265569
18,강화읍,강화군,6,인천광역시,21470.0,0.27945971122496505,0.30585854283859226,0.013518947593465778,30.585854283859227
19,개봉1동,구로구,2,서울특별시,33099.0,0.06042478624731865,0.05084012777947887,0.0022471336478529663,5.084012777947887
20,개봉2동,구로구,2,서울특별시,29119.0,0.06868367732408394,0.060455805794103624,0.0026721466160993805,6.0455805794103625
