시군구,행정동,어린이집_가중치,학급당학생수_가중치,가중치_합산
송파구,가락1동,0.002265789,0.03796634,0.040232129
송파구,가락2동,0.003967742,0.037142276,0.041110018
송파구,가락본동,0.003838298,0.031981388,0.035819685999999996
구로구,가리봉동,0.005234043,0.022644109,0.027878152
금천구,가산동,0.006082418,0.028467688,0.034550106000000004
강서구,가양1동,0.007386423,0.031421882,0.038808305
강서구,가양2동,0.006362069,0.028418858,0.034780927
강서구,가양3동,0.004462585,0.017979592,0.022442177
서구,가정1동,0.002575916,0.048123072,0.050698988
서구,가정2동,0.001881054,0.044631638,0.046512692
서구,가정3동,0.003539568,0.030094169,0.033633737
서구,가좌1동,0.004328446,0.027891103,0.032219549
서구,가좌2동,0.003759825,0.033013264,0.036773089
서구,가좌3동,0.00212069,0.038405939,0.040526629
서구,가좌4동,0.004169492,0.041055016,0.045224508
고양시 일산서구,가좌동,0.006116022,0.041014273,0.047130294999999996
종로구,가회동,0.012724138,0.031495126,0.044219263999999994
남동구,간석1동,0.003194805,0.042093439,0.045288244000000005
남동구,간석2동,0.004813043,0.044696056,0.049509099
남동구,간석3동,0.004384158,0.033888938,0.038273096
남동구,간석4동,0.002669767,0.040220256,0.042890023
구리시,갈매동,0.004125,0.04664222,0.05076722
부평구,갈산1동,0.003049587,0.035191459,0.038241046
부평구,갈산2동,0.006307692,0.033661676,0.039969368000000005
안양시 동안구,갈산동,0.004265896,0.048913266,0.053179161999999995
은평구,갈현1동,0.006910112,0.0,0.006910112
은평구,갈현2동,0.005290323,0.033624099,0.038914422
하남시,감일동,0.003715421,0.044829112,0.048544533
강동구,강일동,0.004375494,0.037074102,0.041449596
강화군,강화읍,0.002584939,0.035395665,0.037980604
구로구,개봉1동,0.003239506,0.032582621,0.035822127
구로구,개봉2동,0.005923954,0.0,0.005923954
구로구,개봉3동,0.004850704,0.031956349,0.036807053
강남구,개포1동,0.000954413,0.042064868,0.043019281
강남구,개포2동,0.000972332,0.039978858,0.04095119
강남구,개포3동,0.003037037,0.042921265,0.045958302
강남구,개포4동,0.002709914,0.030805767,0.033515681
중구,개항동,0.004730769,0.0,0.004730769
송파구,거여1동,0.006678733,0.029256592,0.035935325000000004
송파구,거여2동,0.004085409,0.033153257,0.037238666
서구,검단동,0.00421865,0.044561794,0.048780444
서구,검암경서동,0.004399404,0.042062382,0.046461786000000005
계양구,계산1동,0.007270936,0.027684211,0.034955147
계양구,계산2동,0.006212121,0.027561909,0.03377403
계양구,계산3동,0.005082645,0.038704845,0.04378749
계양구,계산4동,0.004753623,0.040401542,0.045155165
계양구,계양1동,0.010175182,0.041210516,0.051385698
계양구,계양2동,0.004400716,0.034308599,0.038709315
계양구,계양3동,0.002984402,0.0,0.002984402
부천시 오정구,고강1동,0.011310345,0.039761473,0.051071818
부천시 오정구,고강본동,0.004066116,0.039853942,0.043920058000000005
강동구,고덕1동,0.002932936,0.044130406,0.047063341999999994
강동구,고덕2동,0.00306781,0.041832402,0.044900211999999995
성남시 수정구,고등동,0.002536082,0.04033051,0.042866592
고양시 일산동구,고봉동,0.002914692,0.025798723,0.028713415
고양시 덕양구,고양동,0.006246094,0.041871653,0.048117747
구로구,고척1동,0.003045093,0.034391422,0.037436515
구로구,고척2동,0.005877133,0.032590699,0.038467832
김포시,고촌읍,0.003827586,0.047648496,0.051476082
마포구,공덕동,0.002990881,0.030903939,0.03389482
노원구,공릉1동,0.005774648,0.028551614,0.034326261999999996
노원구,공릉2동,0.004582712,0.037996306,0.042579018
강서구,공항동,0.00328626,0.035962616,0.039248876
미추홀구,관교동,0.005668203,0.044819596,0.050487799
고양시 덕양구,관산동,0.003656051,0.042258124,0.045914175
안양시 동안구,관양동,0.006358643,0.036286897,0.042645539999999996
광명시,광명1동,0.001504587,0.0,0.001504587
광명시,광명2동,0.00089781,0.0,0.00089781
광명시,광명3동,0.002411765,0.036918922,0.039330687
광명시,광명4동,0.00572093,0.0,0.00572093
광명시,광명5동,0.007809524,0.038451502,0.046261026
광명시,광명6동,0.004887417,0.044021631,0.048909048
광명시,광명7동,0.003426184,0.0414071,0.044833284
광진구,광장동,0.003545455,0.038966748,0.042512203000000005
중구,광희동,0.006739726,0.031235954,0.03797568
부천시 소사구,괴안동,0.00638961,0.041362757,0.047752367000000004
종로구,교남동,0.003761468,0.030988049,0.034749517
구리시,교문1동,0.006897196,0.030778815,0.037676011
구리시,교문2동,0.004747368,0.043617608,0.048364976000000004
용인시 기흥구,구갈동,0.003053793,0.041326325,0.044380117999999996
김포시,구래동,0.003886617,0.045974572,0.049861189
구로구,구로1동,0.004907731,0.034825017,0.039732748
구로구,구로2동,0.006962264,0.026660991,0.033623255
구로구,구로3동,0.007268182,0.030446574,0.037714756
구로구,구로4동,0.011674576,0.028330283,0.040004859000000004
구로구,구로5동,0.00424626,0.032630416,0.036876676000000004
성남시 분당구,구미1동,0.004489051,0.04587046,0.050359511
성남시 분당구,구미동,0.006190728,0.042319769,0.048510497
은평구,구산동,0.004900398,0.035826317,0.040726715000000004
용인시 기흥구,구성동,0.005168067,0.042499964,0.047668031
남동구,구월1동,0.00382994,0.043148561,0.046978501
남동구,구월2동,0.003858103,0.048101801,0.051959904
남동구,구월3동,0.005882609,0.045682434,0.051565043
남동구,구월4동,0.003539568,0.029816472,0.03335604
광진구,구의1동,0.003228346,0.037777875,0.041006221
광진구,구의2동,0.004833006,0.029781729,0.034614735
광진구,구의3동,0.004169492,0.032932549,0.037102041
광진구,군자동,0.005655172,0.03383895,0.039494122
안양시 동안구,귀인동,0.001822222,0.048874099,0.050696320999999996
남양주시,금곡동,0.00861,0.031636046,0.040246046
성남시 분당구,금곡동,0.003075,0.031636046,0.034711046
성남시 중원구,금광1동,0.002935123,0.041813394,0.044748516999999995
성남시 중원구,금광2동,0.004564948,0.040956798,0.045521746
동구,금창동,0.022363636,0.041248348,0.063611984
성동구,금호1가동,0.003982014,0.033350653,0.037332667
성동구,금호2.3가동,0.003626536,0.029782721,0.033409257000000005
성동구,금호4가동,0.003641447,0.027679903,0.03132135
용인시 기흥구,기흥동,0.006846918,0.034941304,0.041788222
강동구,길동,0.002655359,0.031828291,0.034483650000000005
강화군,길상면,0.002084746,0.027974298,0.030059044
성북구,길음1동,0.003316416,0.037071185,0.040387601
성북구,길음2동,0.002887324,0.0,0.002887324
김포시,김포본동,0.004234742,0.044290464,0.048525206
관악구,낙성대동,0.003671642,0.029900024,0.033571666
